MOLECULE_ID;SMILES;CELL_LINE;TEST_TYPE;RACEMAT;R;S;RR;SS;RS;SR;CIS;TRANS;INDOLE;IC50;Source;Reference
US202311795164B1_69;C[C@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)Cl;0;Luminescence;0;1;0;0;0;0;0;0;0;0;214;patent;US202311795164B1
US202311795164B1_70;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)NC(CO)CO;0;Luminescence;1;0;0;0;0;0;0;0;0;0;159;patent;US202311795164B1
US202311795164B1_71;CC(C)(CNC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)Cl)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;38;patent;US202311795164B1
US202311795164B1_72;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)NC[C@@H](CO)O;0;Luminescence;0;0;1;0;0;0;0;0;0;0;182;patent;US202311795164B1
US202311795164B1_73;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)NC[C@H](CO)O;0;Luminescence;0;1;0;0;0;0;0;0;0;0;283;patent;US202311795164B1
US202311795164B1_74;COC[C@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)Cl;0;Luminescence;0;0;1;0;0;0;0;0;0;0;152;patent;US202311795164B1
US202311795164B1_75;COC[C@@H](CO)NC(=O)C1=CC(=NN(C1=O)C2=CN=CC=C2)C3=CC=C(C=C3)Cl;0;Luminescence;0;1;0;0;0;0;0;0;0;0;83.4;patent;US202311795164B1
US202311795164B1_76;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)NC(CO)C(F)(F)F;0;Luminescence;1;0;0;0;0;0;0;0;0;0;11.9;patent;US202311795164B1
US202311795164B1_77;C1CC1C(CO)NC(=O)C2=CC(=NN(C2=O)C3=CN=CC=C3)C4=CC=C(C=C4)Cl;0;Luminescence;1;0;0;0;0;0;0;0;0;0;11.2;patent;US202311795164B1
US202311795164B1_78;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)NCC(C(F)(F)F)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;6.68;patent;US202311795164B1
US202311795164B1_79;C1=CC(=CN=C1)N2C(=O)C(=CC(=N2)C3=CC=C(C=C3)Cl)C(=O)NCC(C(F)F)O;0;Luminescence;1;0;0;0;0;0;0;0;0;0;39.5;patent;US202311795164B1
